Sno,Order Id,Order Date,Delivery Status,Payment Method,Source,Amount,Rejection Reason,,,,,,
233,1587485178,"11:33 PM, October 07 2018",Delivered,Online,Zomato,₹370,,,,,,,
234,1437888438,"11:14 PM, October 07 2018",Delivered,Online,Zomato,₹380,,,,,,,
235,1119916534,"10:31 PM, October 07 2018",Delivered,COD,Zomato,₹270,,,,,,,
236,1062111455,"09:58 PM, October 07 2018",Delivered,Online,Zomato,₹250,,,,,,,
237,1673060473,"02:22 AM, October 07 2018",Delivered,Online,Zomato,₹139,,,,,,,
238,1131714921,"02:17 AM, October 07 2018",Delivered,COD,Zomato,₹410,,,,,,,
239,1573889105,"01:57 AM, October 07 2018",Delivered,Online,Zomato,₹175,,,,,,,
240,1621782400,"01:50 AM, October 07 2018",Delivered,Online,Zomato,₹228,,,,,,,
241,1063052522,"01:36 AM, October 07 2018",Delivered,Online,Zomato,₹202,,,,,,,
242,1488472018,"01:27 AM, October 07 2018",Rejected,COD,Zomato,₹198,Customer non-responsive | 60% of order amount will be refunded,,,,,,
243,1366514554,"01:26 AM, October 07 2018",Delivered,Online,Zomato,₹370,,,,,,,
244,1423245202,"01:23 AM, October 07 2018",Delivered,COD,Zomato,₹210,,,,,,,
245,1649679343,"01:00 AM, October 07 2018",Delivered,Online,Zomato,₹264,,,,,,,
246,1317639780,"12:59 AM, October 07 2018",Delivered,Online,Zomato,₹184,,,,,,,
247,1500643772,"12:56 AM, October 07 2018",Delivered,Online,Zomato,₹202,,,,,,,
248,1658449627,"12:50 AM, October 07 2018",Delivered,Online,Zomato,₹156,,,,,,,
249,1494599956,"12:48 AM, October 07 2018",Delivered,COD,Zomato,₹470,,,,,,,
250,1312663344,"12:06 AM, October 07 2018",Delivered,Online,Zomato,₹180,,,,,,,
251,1163568802,"11:15 PM, October 06 2018",Delivered,Online,Zomato,₹140,,,,,,,
252,1617819204,"11:14 PM, October 06 2018",Delivered,Online,Zomato,₹138,,,,,,,
253,1246794521,"08:54 PM, October 06 2018",Delivered,Online,Zomato,₹480,,,,,,,
254,1461536959,"03:27 AM, October 06 2018",Delivered,Online,Zomato,₹185,,,,,,,
255,1358831548,"03:21 AM, October 06 2018",Delivered,COD,Zomato,₹306,,,,,,,
256,1016552737,"02:31 AM, October 06 2018",Delivered,Online,Zomato,₹209,,,,,,,
257,1520551616,"02:20 AM, October 06 2018",Delivered,COD,Zomato,₹219,,,,,,,
258,1180215672,"02:16 AM, October 06 2018",Delivered,Online,Zomato,₹470,,,,,,,
259,1100971420,"01:45 AM, October 06 2018",Delivered,Online,Zomato,₹236,,,,,,,
260,1407364556,"01:11 AM, October 06 2018",Delivered,Online,Zomato,₹270,,,,,,,
261,1339449699,"12:19 AM, October 06 2018",Delivered,Online,Zomato,₹220,,,,,,,
262,1073851520,"12:14 AM, October 06 2018",Delivered,Online,Zomato,₹150,,,,,,,
263,1694825705,"12:06 AM, October 06 2018",Delivered,Online,Zomato,₹210,,,,,,,
264,1606496669,"12:05 AM, October 06 2018",Delivered,Online,Zomato,₹380,,,,,,,
265,1289378541,"12:02 AM, October 06 2018",Rejected,COD,Zomato,₹750,Customer non-responsive | 60% of order amount will be refunded,,,,,,
266,1346791912,"10:10 PM, October 05 2018",Delivered,Online,Zomato,₹288,,,,,,,
267,1016154994,"10:07 PM, October 05 2018",Delivered,Online,Zomato,₹218,,,,,,,
268,1430564423,"10:02 PM, October 05 2018",Delivered,Online,Zomato,₹215,,,,,,,
269,1681024254,"09:54 PM, October 05 2018",Delivered,Online,Zomato,₹200,,,,,,,
270,1121308100,"09:42 PM, October 05 2018",Delivered,Online,Zomato,₹359,,,,,,,
271,1336936969,"09:41 PM, October 05 2018",Delivered,COD,Zomato,₹220,,,,,,,
272,1482212292,"09:40 PM, October 05 2018",Delivered,Online,Zomato,₹156,,,,,,,
273,1392712150,"09:23 PM, October 05 2018",Delivered,COD,Zomato,₹156,,,,,,,
274,1268364433,"09:15 PM, October 05 2018",Delivered,COD,Zomato,₹156,,,,,,,
275,1046395181,"09:08 PM, October 05 2018",Delivered,Online,Zomato,₹350,,,,,,,
276,1428376654,"07:23 PM, October 05 2018",Delivered,Online,Zomato,₹240,,,,,,,
277,1236743531,"03:10 AM, October 05 2018",Delivered,COD,Zomato,₹150,,,,,,,
278,1161000142,"02:55 AM, October 05 2018",Delivered,COD,Zomato,₹196,,,,,,,
279,1694082450,"02:44 AM, October 05 2018",Delivered,COD,Zomato,₹202,,,,,,,
280,1423320759,"01:56 AM, October 05 2018",Delivered,Online,Zomato,₹129,,,,,,,
281,1079410144,"01:38 AM, October 05 2018",Delivered,Online,Zomato,₹320,,,,,,,
282,1152650710,"01:35 AM, October 05 2018",Rejected,COD,Zomato,₹190,Food not delivered,,,,,,
283,1159987119,"01:20 AM, October 05 2018",Delivered,Online,Zomato,₹220,,,,,,,
284,1136294263,"01:18 AM, October 05 2018",Delivered,COD,Zomato,₹150,,,,,,,
285,1552588381,"01:04 AM, October 05 2018",Delivered,Online,Zomato,₹132,,,,,,,
286,1637871240,"12:42 AM, October 05 2018",Delivered,Online,Zomato,₹215,,,,,,,
287,1022896400,"03:54 AM, October 04 2018",Delivered,Online,Zomato,₹185,,,,,,,
288,1311462331,"03:44 AM, October 04 2018",Delivered,Online,Zomato,₹200,,,,,,,
289,1423832786,"01:50 AM, October 04 2018",Delivered,Online,Zomato,₹130,,,,,,,
290,1074554896,"01:42 AM, October 04 2018",Delivered,COD,Zomato,₹310,,,,,,,
291,1584245044,"01:37 AM, October 04 2018",Delivered,COD,Zomato,₹120,,,,,,,
